# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-10-07 13:11:53 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08116650 Brazos Rv nr Rosharon, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08116650
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd
5s	15s	20d	14n	10s
USGS	08116650	1967-10-01	854	A
USGS	08116650	1967-10-02	670	A
USGS	08116650	1967-10-03	602	A
USGS	08116650	1967-10-04	538	A
USGS	08116650	1967-10-05	432	A
USGS	08116650	1967-10-06	340	A
USGS	08116650	1967-10-07	287	A
USGS	08116650	1967-10-08	286	A
USGS	08116650	1967-10-09	392	A
USGS	08116650	1967-10-10	496	A
USGS	08116650	1967-10-11	469	A
USGS	08116650	1967-10-12	529	A
USGS	08116650	1967-10-13	527	A
USGS	08116650	1967-10-14	533	A
USGS	08116650	1967-10-15	615	A
USGS	08116650	1967-10-16	1410	A
USGS	08116650	1967-10-17	1680	A
USGS	08116650	1967-10-18	1340	A
USGS	08116650	1967-10-19	1170	A
USGS	08116650	1967-10-20	881	A
USGS	08116650	1967-10-21	660	A
USGS	08116650	1967-10-22	1740	A
USGS	08116650	1967-10-23	2850	A
USGS	08116650	1967-10-24	2330	A
USGS	08116650	1967-10-25	1590	A
USGS	08116650	1967-10-26	1190	A
USGS	08116650	1967-10-27	980	A
USGS	08116650	1967-10-28	838	A
USGS	08116650	1967-10-29	726	A
USGS	08116650	1967-10-30	711	A
USGS	08116650	1967-10-31	718	A
USGS	08116650	1967-11-01	585	A
USGS	08116650	1967-11-02	521	A
USGS	08116650	1967-11-03	2350	A
USGS	08116650	1967-11-04	8060	A
USGS	08116650	1967-11-05	6290	A
USGS	08116650	1967-11-06	4100	A
USGS	08116650	1967-11-07	2850	A
USGS	08116650	1967-11-08	2000	A
USGS	08116650	1967-11-09	1570	A
USGS	08116650	1967-11-10	1410	A
USGS	08116650	1967-11-11	1310	A
USGS	08116650	1967-11-12	1280	A
USGS	08116650	1967-11-13	7140	A
USGS	08116650	1967-11-14	21500	A
USGS	08116650	1967-11-15	18700	A
USGS	08116650	1967-11-16	11700	A
USGS	08116650	1967-11-17	7570	A
USGS	08116650	1967-11-18	5530	A
USGS	08116650	1967-11-19	4560	A
USGS	08116650	1967-11-20	3850	A
USGS	08116650	1967-11-21	3100	A
USGS	08116650	1967-11-22	2710	A
USGS	08116650	1967-11-23	2480	A
USGS	08116650	1967-11-24	2330	A
USGS	08116650	1967-11-25	2290	A
USGS	08116650	1967-11-26	2190	A
USGS	08116650	1967-11-27	2050	A
USGS	08116650	1967-11-28	1860	A
USGS	08116650	1967-11-29	1660	A
USGS	08116650	1967-11-30	1520	A
USGS	08116650	1967-12-01	1400	A
USGS	08116650	1967-12-02	1420	A
USGS	08116650	1967-12-03	1310	A
USGS	08116650	1967-12-04	1210	A
USGS	08116650	1967-12-05	1140	A
USGS	08116650	1967-12-06	1210	A
USGS	08116650	1967-12-07	1230	A
USGS	08116650	1967-12-08	1160	A
USGS	08116650	1967-12-09	1160	A
USGS	08116650	1967-12-10	1810	A
USGS	08116650	1967-12-11	1570	A
USGS	08116650	1967-12-12	1330	A
USGS	08116650	1967-12-13	1190	A
USGS	08116650	1967-12-14	1270	A
USGS	08116650	1967-12-15	1580	A
USGS	08116650	1967-12-16	2280	A
USGS	08116650	1967-12-17	2190	A
USGS	08116650	1967-12-18	2270	A
USGS	08116650	1967-12-19	4410	A
USGS	08116650	1967-12-20	8720	A
USGS	08116650	1967-12-21	7920	A
USGS	08116650	1967-12-22	6140	A
USGS	08116650	1967-12-23	4930	A
USGS	08116650	1967-12-24	4220	A
USGS	08116650	1967-12-25	3850	A
USGS	08116650	1967-12-26	3400	A
USGS	08116650	1967-12-27	3140	A
USGS	08116650	1967-12-28	2910	A
USGS	08116650	1967-12-29	2660	A
USGS	08116650	1967-12-30	2570	A
USGS	08116650	1967-12-31	2800	A
USGS	08116650	1968-01-01	2880	A
USGS	08116650	1968-01-02	2870	A
USGS	08116650	1968-01-03	2880	A
USGS	08116650	1968-01-04	2700	A
USGS	08116650	1968-01-05	2420	A
USGS	08116650	1968-01-06	2370	A
USGS	08116650	1968-01-07	2410	A
USGS	08116650	1968-01-08	2500	A
USGS	08116650	1968-01-09	2980	A
USGS	08116650	1968-01-10	5170	A
USGS	08116650	1968-01-11	9730	A
USGS	08116650	1968-01-12	16400	A
USGS	08116650	1968-01-13	19200	A
USGS	08116650	1968-01-14	16700	A
USGS	08116650	1968-01-15	12600	A
USGS	08116650	1968-01-16	9770	A
USGS	08116650	1968-01-17	8270	A
USGS	08116650	1968-01-18	7210	A
USGS	08116650	1968-01-19	10400	A
USGS	08116650	1968-01-20	14600	A
USGS	08116650	1968-01-21	16800	A
USGS	08116650	1968-01-22	30800	A
USGS	08116650	1968-01-23	38100	A
USGS	08116650	1968-01-24	47400	A
USGS	08116650	1968-01-25	59400	A
USGS	08116650	1968-01-26	61700	A
USGS	08116650	1968-01-27	49400	A
USGS	08116650	1968-01-28	35500	A
USGS	08116650	1968-01-29	31100	A
USGS	08116650	1968-01-30	29900	A
USGS	08116650	1968-01-31	27500	A
USGS	08116650	1968-02-01	26300	A
USGS	08116650	1968-02-02	26200	A
USGS	08116650	1968-02-03	24700	A
USGS	08116650	1968-02-04	23500	A
USGS	08116650	1968-02-05	22200	A
USGS	08116650	1968-02-06	19300	A
USGS	08116650	1968-02-07	16300	A
USGS	08116650	1968-02-08	14800	A
USGS	08116650	1968-02-09	14100	A
USGS	08116650	1968-02-10	13100	A
USGS	08116650	1968-02-11	12300	A
USGS	08116650	1968-02-12	11800	A
USGS	08116650	1968-02-13	11500	A
USGS	08116650	1968-02-14	11300	A
USGS	08116650	1968-02-15	10800	A
USGS	08116650	1968-02-16	10800	A
USGS	08116650	1968-02-17	10800	A
USGS	08116650	1968-02-18	10600	A
USGS	08116650	1968-02-19	10100	A
USGS	08116650	1968-02-20	9750	A
USGS	08116650	1968-02-21	9420	A
USGS	08116650	1968-02-22	9220	A
USGS	08116650	1968-02-23	9480	A
USGS	08116650	1968-02-24	9790	A
USGS	08116650	1968-02-25	9280	A
USGS	08116650	1968-02-26	8700	A
USGS	08116650	1968-02-27	8500	A
USGS	08116650	1968-02-28	8440	A
USGS	08116650	1968-02-29	8230	A
USGS	08116650	1968-03-01	7840	A
USGS	08116650	1968-03-02	7420	A
USGS	08116650	1968-03-03	7180	A
USGS	08116650	1968-03-04	7690	A
USGS	08116650	1968-03-05	8000	A
USGS	08116650	1968-03-06	7980	A
USGS	08116650	1968-03-07	7490	A
USGS	08116650	1968-03-08	7000	A
USGS	08116650	1968-03-09	6740	A
USGS	08116650	1968-03-10	6590	A
USGS	08116650	1968-03-11	6710	A
USGS	08116650	1968-03-12	7170	A
USGS	08116650	1968-03-13	8320	A
USGS	08116650	1968-03-14	19600	A
USGS	08116650	1968-03-15	30600	A
USGS	08116650	1968-03-16	28900	A
USGS	08116650	1968-03-17	22600	A
USGS	08116650	1968-03-18	18700	A
USGS	08116650	1968-03-19	16200	A
USGS	08116650	1968-03-20	14300	A
USGS	08116650	1968-03-21	14000	A
USGS	08116650	1968-03-22	15800	A
USGS	08116650	1968-03-23	16900	A
USGS	08116650	1968-03-24	19400	A
USGS	08116650	1968-03-25	24600	A
USGS	08116650	1968-03-26	28400	A
USGS	08116650	1968-03-27	29600	A
USGS	08116650	1968-03-28	27700	A
USGS	08116650	1968-03-29	23400	A
USGS	08116650	1968-03-30	19000	A
USGS	08116650	1968-03-31	16000	A
USGS	08116650	1968-04-01	14800	A
USGS	08116650	1968-04-02	14100	A
USGS	08116650	1968-04-03	13800	A
USGS	08116650	1968-04-04	13600	A
USGS	08116650	1968-04-05	13700	A
USGS	08116650	1968-04-06	15800	A
USGS	08116650	1968-04-07	15200	A
USGS	08116650	1968-04-08	13000	A
USGS	08116650	1968-04-09	12700	A
USGS	08116650	1968-04-10	20700	A
USGS	08116650	1968-04-11	29200	A
USGS	08116650	1968-04-12	24900	A
USGS	08116650	1968-04-13	21800	A
USGS	08116650	1968-04-14	21400	A
USGS	08116650	1968-04-15	25100	A
USGS	08116650	1968-04-16	29600	A
USGS	08116650	1968-04-17	27600	A
USGS	08116650	1968-04-18	21900	A
USGS	08116650	1968-04-19	17500	A
USGS	08116650	1968-04-20	14800	A
USGS	08116650	1968-04-21	13200	A
USGS	08116650	1968-04-22	12500	A
USGS	08116650	1968-04-23	12300	A
USGS	08116650	1968-04-24	12600	A
USGS	08116650	1968-04-25	12500	A
USGS	08116650	1968-04-26	12000	A
USGS	08116650	1968-04-27	13100	A
USGS	08116650	1968-04-28	13400	A
USGS	08116650	1968-04-29	12100	A
USGS	08116650	1968-04-30	11400	A
USGS	08116650	1968-05-01	10900	A
USGS	08116650	1968-05-02	10800	A
USGS	08116650	1968-05-03	10300	A
USGS	08116650	1968-05-04	10000	A
USGS	08116650	1968-05-05	10400	A
USGS	08116650	1968-05-06	10700	A
USGS	08116650	1968-05-07	9860	A
USGS	08116650	1968-05-08	8960	A
USGS	08116650	1968-05-09	8990	A
USGS	08116650	1968-05-10	10000	A
USGS	08116650	1968-05-11	32200	A
USGS	08116650	1968-05-12	63100	A
USGS	08116650	1968-05-13	76500	A
USGS	08116650	1968-05-14	79700	A
USGS	08116650	1968-05-15	79100	A
USGS	08116650	1968-05-16	71700	A
USGS	08116650	1968-05-17	52700	A
USGS	08116650	1968-05-18	43800	A
USGS	08116650	1968-05-19	49100	A
USGS	08116650	1968-05-20	53300	A
USGS	08116650	1968-05-21	57200	A
USGS	08116650	1968-05-22	58500	A
USGS	08116650	1968-05-23	52100	A
USGS	08116650	1968-05-24	42200	A
USGS	08116650	1968-05-25	37000	A
USGS	08116650	1968-05-26	35300	A
USGS	08116650	1968-05-27	34000	A
USGS	08116650	1968-05-28	33100	A
USGS	08116650	1968-05-29	32500	A
USGS	08116650	1968-05-30	30800	A
USGS	08116650	1968-05-31	28000	A
USGS	08116650	1968-06-01	23900	A
USGS	08116650	1968-06-02	19400	A
USGS	08116650	1968-06-03	19700	A
USGS	08116650	1968-06-04	27500	A
USGS	08116650	1968-06-05	34900	A
USGS	08116650	1968-06-06	40400	A
USGS	08116650	1968-06-07	41500	A
USGS	08116650	1968-06-08	36900	A
USGS	08116650	1968-06-09	29900	A
USGS	08116650	1968-06-10	24500	A
USGS	08116650	1968-06-11	20200	A
USGS	08116650	1968-06-12	16800	A
USGS	08116650	1968-06-13	14600	A
USGS	08116650	1968-06-14	13800	A
USGS	08116650	1968-06-15	14400	A
USGS	08116650	1968-06-16	14400	A
USGS	08116650	1968-06-17	13400	A
USGS	08116650	1968-06-18	12000	A
USGS	08116650	1968-06-19	12100	A
USGS	08116650	1968-06-20	11800	A
USGS	08116650	1968-06-21	13100	A
USGS	08116650	1968-06-22	14300	A
USGS	08116650	1968-06-23	16600	A
USGS	08116650	1968-06-24	37000	A
USGS	08116650	1968-06-25	62400	A
USGS	08116650	1968-06-26	73500	A
USGS	08116650	1968-06-27	76100	A
USGS	08116650	1968-06-28	72900	A
USGS	08116650	1968-06-29	60600	A
USGS	08116650	1968-06-30	43100	A
USGS	08116650	1968-07-01	31800	A
USGS	08116650	1968-07-02	26100	A
USGS	08116650	1968-07-03	23400	A
USGS	08116650	1968-07-04	20600	A
USGS	08116650	1968-07-05	18000	A
USGS	08116650	1968-07-06	16400	A
USGS	08116650	1968-07-07	15100	A
USGS	08116650	1968-07-08	13100	A
USGS	08116650	1968-07-09	11500	A
USGS	08116650	1968-07-10	18000	A
USGS	08116650	1968-07-11	34100	A
USGS	08116650	1968-07-12	37700	A
USGS	08116650	1968-07-13	36600	A
USGS	08116650	1968-07-14	30500	A
USGS	08116650	1968-07-15	26700	A
USGS	08116650	1968-07-16	25900	A
USGS	08116650	1968-07-17	23400	A
USGS	08116650	1968-07-18	20500	A
USGS	08116650	1968-07-19	17600	A
USGS	08116650	1968-07-20	14800	A
USGS	08116650	1968-07-21	13300	A
USGS	08116650	1968-07-22	12300	A
USGS	08116650	1968-07-23	11700	A
USGS	08116650	1968-07-24	11100	A
USGS	08116650	1968-07-25	9630	A
USGS	08116650	1968-07-26	9230	A
USGS	08116650	1968-07-27	8170	A
USGS	08116650	1968-07-28	7610	A
USGS	08116650	1968-07-29	7070	A
USGS	08116650	1968-07-30	6470	A
USGS	08116650	1968-07-31	5850	A
USGS	08116650	1968-08-01	5540	A
USGS	08116650	1968-08-02	5450	A
USGS	08116650	1968-08-03	5270	A
USGS	08116650	1968-08-04	4950	A
USGS	08116650	1968-08-05	4510	A
USGS	08116650	1968-08-06	4220	A
USGS	08116650	1968-08-07	4070	A
USGS	08116650	1968-08-08	3720	A
USGS	08116650	1968-08-09	3400	A
USGS	08116650	1968-08-10	3190	A
USGS	08116650	1968-08-11	2990	A
USGS	08116650	1968-08-12	2870	A
USGS	08116650	1968-08-13	2840	A
USGS	08116650	1968-08-14	2830	A
USGS	08116650	1968-08-15	2750	A
USGS	08116650	1968-08-16	2600	A
USGS	08116650	1968-08-17	2450	A
USGS	08116650	1968-08-18	2130	A
USGS	08116650	1968-08-19	1870	A
USGS	08116650	1968-08-20	1660	A
USGS	08116650	1968-08-21	1600	A
USGS	08116650	1968-08-22	1500	A
USGS	08116650	1968-08-23	1490	A
USGS	08116650	1968-08-24	1740	A
USGS	08116650	1968-08-25	1640	A
USGS	08116650	1968-08-26	1430	A
USGS	08116650	1968-08-27	1250	A
USGS	08116650	1968-08-28	1200	A
USGS	08116650	1968-08-29	1240	A
USGS	08116650	1968-08-30	1200	A
USGS	08116650	1968-08-31	1100	A
USGS	08116650	1968-09-01	1110	A
USGS	08116650	1968-09-02	1120	A
USGS	08116650	1968-09-03	1140	A
USGS	08116650	1968-09-04	1280	A
USGS	08116650	1968-09-05	1980	A
USGS	08116650	1968-09-06	2840	A
USGS	08116650	1968-09-07	4360	A
USGS	08116650	1968-09-08	7420	A
USGS	08116650	1968-09-09	5990	A
USGS	08116650	1968-09-10	4190	A
USGS	08116650	1968-09-11	3160	A
USGS	08116650	1968-09-12	2610	A
USGS	08116650	1968-09-13	2320	A
USGS	08116650	1968-09-14	2240	A
USGS	08116650	1968-09-15	2350	A
USGS	08116650	1968-09-16	2680	A
USGS	08116650	1968-09-17	9320	A
USGS	08116650	1968-09-18	11100	A
USGS	08116650	1968-09-19	7520	A
USGS	08116650	1968-09-20	5170	A
USGS	08116650	1968-09-21	4030	A
USGS	08116650	1968-09-22	3690	A
USGS	08116650	1968-09-23	3750	A
USGS	08116650	1968-09-24	3420	A
USGS	08116650	1968-09-25	3010	A
USGS	08116650	1968-09-26	2740	A
USGS	08116650	1968-09-27	2600	A
USGS	08116650	1968-09-28	2400	A
USGS	08116650	1968-09-29	2240	A
USGS	08116650	1968-09-30	2090	A
USGS	08116650	1968-10-01	1990	A
USGS	08116650	1968-10-02	1960	A
USGS	08116650	1968-10-03	1890	A
USGS	08116650	1968-10-04	1830	A
USGS	08116650	1968-10-05	2210	A
USGS	08116650	1968-10-06	2720	A
USGS	08116650	1968-10-07	3120	A
USGS	08116650	1968-10-08	4770	A
USGS	08116650	1968-10-09	5600	A
USGS	08116650	1968-10-10	4690	A
USGS	08116650	1968-10-11	3880	A
USGS	08116650	1968-10-12	4740	A
USGS	08116650	1968-10-13	5280	A
USGS	08116650	1968-10-14	4450	A
USGS	08116650	1968-10-15	3780	A
USGS	08116650	1968-10-16	3580	A
USGS	08116650	1968-10-17	3360	A
USGS	08116650	1968-10-18	3020	A
USGS	08116650	1968-10-19	2800	A
USGS	08116650	1968-10-20	2610	A
USGS	08116650	1968-10-21	2460	A
USGS	08116650	1968-10-22	2390	A
USGS	08116650	1968-10-23	2470	A
USGS	08116650	1968-10-24	2520	A
USGS	08116650	1968-10-25	2540	A
USGS	08116650	1968-10-26	2350	A
USGS	08116650	1968-10-27	2130	A
USGS	08116650	1968-10-28	1960	A
USGS	08116650	1968-10-29	1840	A
USGS	08116650	1968-10-30	1920	A
USGS	08116650	1968-10-31	2050	A
USGS	08116650	1968-11-01	2020	A
USGS	08116650	1968-11-02	1850	A
USGS	08116650	1968-11-03	1850	A
USGS	08116650	1968-11-04	1770	A
USGS	08116650	1968-11-05	1700	A
USGS	08116650	1968-11-06	1390	A
USGS	08116650	1968-11-07	1450	A
USGS	08116650	1968-11-08	1630	A
USGS	08116650	1968-11-09	1720	A
USGS	08116650	1968-11-10	1560	A
USGS	08116650	1968-11-11	1550	A
USGS	08116650	1968-11-12	1550	A
USGS	08116650	1968-11-13	1550	A
USGS	08116650	1968-11-14	1440	A
USGS	08116650	1968-11-15	1360	A
USGS	08116650	1968-11-16	1360	A
USGS	08116650	1968-11-17	2050	A
USGS	08116650	1968-11-18	6280	A
USGS	08116650	1968-11-19	6390	A
USGS	08116650	1968-11-20	4300	A
USGS	08116650	1968-11-21	3510	A
USGS	08116650	1968-11-22	3310	A
USGS	08116650	1968-11-23	2920	A
USGS	08116650	1968-11-24	2480	A
USGS	08116650	1968-11-25	2120	A
USGS	08116650	1968-11-26	1980	A
USGS	08116650	1968-11-27	2020	A
USGS	08116650	1968-11-28	2180	A
USGS	08116650	1968-11-29	5030	A
USGS	08116650	1968-11-30	10100	A
USGS	08116650	1968-12-01	12700	A
USGS	08116650	1968-12-02	23900	A
USGS	08116650	1968-12-03	26700	A
USGS	08116650	1968-12-04	24500	A
USGS	08116650	1968-12-05	21700	A
USGS	08116650	1968-12-06	16500	A
USGS	08116650	1968-12-07	12200	A
USGS	08116650	1968-12-08	9960	A
USGS	08116650	1968-12-09	8540	A
USGS	08116650	1968-12-10	7330	A
USGS	08116650	1968-12-11	6320	A
USGS	08116650	1968-12-12	5730	A
USGS	08116650	1968-12-13	5700	A
USGS	08116650	1968-12-14	6740	A
USGS	08116650	1968-12-15	7260	A
USGS	08116650	1968-12-16	6060	A
USGS	08116650	1968-12-17	5300	A
USGS	08116650	1968-12-18	4810	A
USGS	08116650	1968-12-19	4410	A
USGS	08116650	1968-12-20	4040	A
USGS	08116650	1968-12-21	3900	A
USGS	08116650	1968-12-22	3950	A
USGS	08116650	1968-12-23	5300	A
USGS	08116650	1968-12-24	7770	A
USGS	08116650	1968-12-25	8930	A
USGS	08116650	1968-12-26	8060	A
USGS	08116650	1968-12-27	7200	A
USGS	08116650	1968-12-28	6390	A
USGS	08116650	1968-12-29	5580	A
USGS	08116650	1968-12-30	4930	A
USGS	08116650	1968-12-31	4650	A
USGS	08116650	1969-01-01	4260	A
USGS	08116650	1969-01-02	3890	A
USGS	08116650	1969-01-03	4240	A
USGS	08116650	1969-01-04	3940	A
USGS	08116650	1969-01-05	3520	A
USGS	08116650	1969-01-06	3150	A
USGS	08116650	1969-01-07	2920	A
USGS	08116650	1969-01-08	2900	A
USGS	08116650	1969-01-09	2830	A
USGS	08116650	1969-01-10	2760	A
USGS	08116650	1969-01-11	2390	A
USGS	08116650	1969-01-12	2170	A
USGS	08116650	1969-01-13	2090	A
USGS	08116650	1969-01-14	2020	A
USGS	08116650	1969-01-15	2100	A
USGS	08116650	1969-01-16	2890	A
USGS	08116650	1969-01-17	4650	A
USGS	08116650	1969-01-18	3470	A
USGS	08116650	1969-01-19	3070	A
USGS	08116650	1969-01-20	2860	A
USGS	08116650	1969-01-21	2920	A
USGS	08116650	1969-01-22	3230	A
USGS	08116650	1969-01-23	3260	A
USGS	08116650	1969-01-24	3020	A
USGS	08116650	1969-01-25	2850	A
USGS	08116650	1969-01-26	2800	A
USGS	08116650	1969-01-27	2760	A
USGS	08116650	1969-01-28	2760	A
USGS	08116650	1969-01-29	2840	A
USGS	08116650	1969-01-30	2840	A
USGS	08116650	1969-01-31	2590	A
USGS	08116650	1969-02-01	2110	A
USGS	08116650	1969-02-02	1890	A
USGS	08116650	1969-02-03	1810	A
USGS	08116650	1969-02-04	1660	A
USGS	08116650	1969-02-05	1740	A
USGS	08116650	1969-02-06	1690	A
USGS	08116650	1969-02-07	1610	A
USGS	08116650	1969-02-08	1720	A
USGS	08116650	1969-02-09	1720	A
USGS	08116650	1969-02-10	1650	A
USGS	08116650	1969-02-11	1590	A
USGS	08116650	1969-02-12	1560	A
USGS	08116650	1969-02-13	1520	A
USGS	08116650	1969-02-14	2190	A
USGS	08116650	1969-02-15	4180	A
USGS	08116650	1969-02-16	9670	A
USGS	08116650	1969-02-17	15000	A
USGS	08116650	1969-02-18	16600	A
USGS	08116650	1969-02-19	14400	A
USGS	08116650	1969-02-20	10900	A
USGS	08116650	1969-02-21	12200	A
USGS	08116650	1969-02-22	36200	A
USGS	08116650	1969-02-23	47800	A
USGS	08116650	1969-02-24	35300	A
USGS	08116650	1969-02-25	24900	A
USGS	08116650	1969-02-26	20400	A
USGS	08116650	1969-02-27	16800	A
USGS	08116650	1969-02-28	13800	A
USGS	08116650	1969-03-01	11700	A
USGS	08116650	1969-03-02	10200	A
USGS	08116650	1969-03-03	9310	A
USGS	08116650	1969-03-04	8480	A
USGS	08116650	1969-03-05	7970	A
USGS	08116650	1969-03-06	8970	A
USGS	08116650	1969-03-07	8560	A
USGS	08116650	1969-03-08	8040	A
USGS	08116650	1969-03-09	7670	A
USGS	08116650	1969-03-10	7540	A
USGS	08116650	1969-03-11	8210	A
USGS	08116650	1969-03-12	9030	A
USGS	08116650	1969-03-13	9190	A
USGS	08116650	1969-03-14	8360	A
USGS	08116650	1969-03-15	8040	A
USGS	08116650	1969-03-16	14900	A
USGS	08116650	1969-03-17	30400	A
USGS	08116650	1969-03-18	34500	A
USGS	08116650	1969-03-19	31100	A
USGS	08116650	1969-03-20	25500	A
USGS	08116650	1969-03-21	20000	A
USGS	08116650	1969-03-22	15900	A
USGS	08116650	1969-03-23	13700	A
USGS	08116650	1969-03-24	13500	A
USGS	08116650	1969-03-25	16800	A
USGS	08116650	1969-03-26	18200	A
USGS	08116650	1969-03-27	21700	A
USGS	08116650	1969-03-28	19800	A
USGS	08116650	1969-03-29	15800	A
USGS	08116650	1969-03-30	13400	A
USGS	08116650	1969-03-31	11600	A
USGS	08116650	1969-04-01	10100	A
USGS	08116650	1969-04-02	9090	A
USGS	08116650	1969-04-03	8640	A
USGS	08116650	1969-04-04	8800	A
USGS	08116650	1969-04-05	8970	A
USGS	08116650	1969-04-06	8690	A
USGS	08116650	1969-04-07	8530	A
USGS	08116650	1969-04-08	9290	A
USGS	08116650	1969-04-09	12300	A
USGS	08116650	1969-04-10	11500	A
USGS	08116650	1969-04-11	9110	A
USGS	08116650	1969-04-12	9600	A
USGS	08116650	1969-04-13	18000	A
USGS	08116650	1969-04-14	41100	A
USGS	08116650	1969-04-15	54100	A
USGS	08116650	1969-04-16	56600	A
USGS	08116650	1969-04-17	51800	A
USGS	08116650	1969-04-18	40700	A
USGS	08116650	1969-04-19	31400	A
USGS	08116650	1969-04-20	31100	A
USGS	08116650	1969-04-21	33000	A
USGS	08116650	1969-04-22	29200	A
USGS	08116650	1969-04-23	25000	A
USGS	08116650	1969-04-24	23500	A
USGS	08116650	1969-04-25	23800	A
USGS	08116650	1969-04-26	23500	A
USGS	08116650	1969-04-27	22100	A
USGS	08116650	1969-04-28	20100	A
USGS	08116650	1969-04-29	17500	A
USGS	08116650	1969-04-30	15400	A
USGS	08116650	1969-05-01	14500	A
USGS	08116650	1969-05-02	14900	A
USGS	08116650	1969-05-03	14900	A
USGS	08116650	1969-05-04	16800	A
USGS	08116650	1969-05-05	15700	A
USGS	08116650	1969-05-06	17900	A
USGS	08116650	1969-05-07	21400	A
USGS	08116650	1969-05-08	25400	A
USGS	08116650	1969-05-09	25200	A
USGS	08116650	1969-05-10	29500	A
USGS	08116650	1969-05-11	36100	A
USGS	08116650	1969-05-12	36700	A
USGS	08116650	1969-05-13	38500	A
USGS	08116650	1969-05-14	41500	A
USGS	08116650	1969-05-15	42800	A
USGS	08116650	1969-05-16	44500	A
USGS	08116650	1969-05-17	50200	A
USGS	08116650	1969-05-18	48100	A
USGS	08116650	1969-05-19	43700	A
USGS	08116650	1969-05-20	38700	A
USGS	08116650	1969-05-21	31000	A
USGS	08116650	1969-05-22	22800	A
USGS	08116650	1969-05-23	16700	A
USGS	08116650	1969-05-24	14100	A
USGS	08116650	1969-05-25	17500	A
USGS	08116650	1969-05-26	18900	A
USGS	08116650	1969-05-27	15900	A
USGS	08116650	1969-05-28	13200	A
